proudy-1: min;proudy-1: max;proudy-2: min;proudy-2: max;proudy-3: min;proudy-3: max;proudy-4: min;proudy-4: max;napeti-1: min;napeti-1: max;napeti-2: min;napeti-2: max;napeti-3: min;napeti-3: max;napeti-4: min;napeti-4: max;oscilace-1: min;oscilace-1: max;oscilace-2: min;oscilace-2: max;oscilace-3: min;oscilace-3: max;oscilace-4: min;oscilace-4: max;oscilace-5: min;oscilace-5: max;oscilace-6: min;oscilace-6: max;oscilace-7: min;oscilace-7: max;oscilace-8: min;oscilace-8: max;oscilace-9: min;oscilace-9: max;oscilace-10: min;oscilace-10: max;oscilace-11: min;oscilace-11: max;oscilace-12: min;oscilace-12: max;oscilace-13: min;oscilace-13: max;oscilace-14: min;oscilace-14: max;oscilace-15: min;oscilace-15: max;oscilace-16: min;oscilace-16: max;filepath
-1.0854857;-0.18330856;2.6896033;15.665826;-1.0919739;-0.18158813;2.6895516;15.663457;-3.518397;-1.1053855;3.9942093;9.488386;-4.3889914;-1.2290188;3.734461;9.476276;0.012182338;0.18188503;-0.87465066;-0.048871513;0.02879306;1.5509038;0.13864756;0.8859741;-0.018625068;0.014036584;0.023505695;0.23172668;-0.46334088;-0.015746512;-0.14362259;-0.008065571;-0.06459546;0.020053232;0.009732812;0.1354208;-0.21862037;0.31510696;-0.06225576;0.4942329;-0.013036075;0.020681417;-0.051249266;-0.00051607384;-0.07522991;0.055678975;-0.09823036;0.022756496;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_0_5Nm_12-14-2020_13-02_Em_0.mat
-1.0854857;-0.18330856;2.6896033;15.665826;-1.0919739;-0.18158813;2.6895516;15.663457;-3.518397;-1.1053855;3.9942093;9.488386;-4.3889914;-1.2290188;3.734461;9.476276;-0.81716377;-0.073859215;-0.055956602;0.34818175;-0.26932737;0.3998073;-1.7079016;-0.13802868;0.017988587;0.20228216;-0.11733759;-0.006638014;-0.03170207;0.14557011;0.034233842;0.45947218;0.013863574;0.12829947;-0.06495032;0.03297881;-0.19836812;0.46521318;-0.48099473;0.085506946;-0.047740083;0.0023147343;-0.0071119703;0.035524115;-0.07328009;0.023524376;-0.05325288;0.10182249;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_0_5Nm_12-14-2020_13-02_Em_1.mat
-1.0854857;-0.18330856;2.6896033;15.665826;-1.0919739;-0.18158813;2.6895516;15.663457;-3.518397;-1.1053855;3.9942093;9.488386;-4.3889914;-1.2290188;3.734461;9.476276;0.008281521;0.69809103;0.07876535;0.55178523;-1.4098924;-0.16540812;-0.16250233;0.9947701;-0.19918214;-0.01936659;-0.12158636;-0.0076497453;0.036641914;0.34334725;-0.34523892;0.008139799;-0.11507503;0.0092300065;-0.111365505;-0.008251672;-0.5539994;0.042031333;-0.37558284;0.28301385;0.002190115;0.050009813;-0.0047923983;0.035746727;-0.039345182;0.109708935;-0.045245975;0.058816947;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_0_5Nm_12-14-2020_13-02_Em_2.mat
-1.20763;-0.2889917;4.2638025;17.391949;-1.2051822;-0.28273255;4.266916;17.393093;-3.667753;-1.1666648;4.2187138;9.595093;-4.534592;-1.2624933;3.9757326;9.572808;0.039637376;0.18588257;-0.8920019;-0.057042487;0.06224811;1.6279457;0.15348914;0.91878414;-0.019603793;0.01012995;0.024158591;0.23371829;-0.5015556;-0.034428187;-0.15608421;-0.011900342;-0.08790835;0.030934012;0.0005098007;0.1416419;-0.15695381;0.33058837;-0.071209244;0.5005566;-0.019089198;0.023464749;-0.059232354;-0.00037858175;-0.09864083;0.050759837;-0.10044959;0.029695837;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_1_0Nm_12-14-2020_13-02_Em_0.mat
-1.20763;-0.2889917;4.2638025;17.391949;-1.2051822;-0.28273255;4.266916;17.393093;-3.667753;-1.1666648;4.2187138;9.595093;-4.534592;-1.2624933;3.9757326;9.572808;-0.8429653;-0.09025708;-0.05140148;0.3452847;-0.29360333;0.4039048;-1.7297828;-0.13828143;0.023735711;0.2075845;-0.11489704;-0.005863168;-0.026250182;0.14465685;0.047908347;0.50373894;0.005751179;0.14825448;-0.065908216;0.051774926;-0.10856363;0.40834022;-0.38904196;0.10196508;-0.05412809;-0.0030183585;-0.009539358;0.03163457;-0.0772108;0.023140961;-0.046629544;0.12892611;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_1_0Nm_12-14-2020_13-02_Em_1.mat
-1.20763;-0.2889917;4.2638025;17.391949;-1.2051822;-0.28273255;4.266916;17.393093;-3.667753;-1.1666648;4.2187138;9.595093;-4.534592;-1.2624933;3.9757326;9.572808;0.0076594194;0.7100349;0.09541678;0.5800035;-1.5013846;-0.16963488;-0.12706497;1.103254;-0.19940503;-0.017399773;-0.12642816;-0.013903199;0.03673983;0.37099376;-0.36508772;-0.010417929;-0.11416394;0.023528669;-0.11653248;0.0061489213;-0.47799274;0.099941656;-0.2366555;0.22143662;-0.003102318;0.04875229;-0.0035210764;0.036140706;-0.034540873;0.12592834;-0.04287783;0.048857495;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_1_0Nm_12-14-2020_13-02_Em_2.mat
-1.3528891;-0.37412205;5.4995446;19.34544;-1.358532;-0.3711049;5.5057273;19.34252;-3.8095982;-1.2136693;4.4622335;9.615331;-4.6702213;-1.3373054;4.233338;9.594714;0.060957134;0.19460608;-0.9290706;-0.06682855;0.093050174;1.6476746;0.20585936;0.9837872;-0.022581588;0.009746355;0.03050706;0.24266198;-0.4946686;-0.027402736;-0.16461957;-0.0013148943;-0.0900561;0.019587569;0.0152542535;0.15222168;-0.1349353;0.34091604;-0.17560287;0.532109;-0.015712667;0.022081539;-0.058078118;-0.005595396;-0.07836324;0.06302422;-0.10440305;0.032766435;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_1_5Nm_12-14-2020_13-02_Em_0.mat
-1.3528891;-0.37412205;5.4995446;19.34544;-1.358532;-0.3711049;5.5057273;19.34252;-3.8095982;-1.2136693;4.4622335;9.615331;-4.6702213;-1.3373054;4.233338;9.594714;-0.88267076;-0.10798883;-0.05863087;0.36122355;-0.29169458;0.35576755;-1.8101664;-0.22915186;0.028772462;0.21693632;-0.12361341;-0.0056654983;-0.016117092;0.13949244;0.02626433;0.500104;0.024542307;0.14715701;-0.08044111;0.052680235;-0.20611596;0.41712967;-0.46431813;0.12950958;-0.05479107;-0.007868422;-0.007330118;0.041385405;-0.079004504;0.027938895;-0.06948652;0.10881343;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_1_5Nm_12-14-2020_13-02_Em_1.mat
-1.3528891;-0.37412205;5.4995446;19.34544;-1.358532;-0.3711049;5.5057273;19.34252;-3.8095982;-1.2136693;4.4622335;9.615331;-4.6702213;-1.3373054;4.233338;9.594714;0.007033736;0.7419367;0.10777443;0.61112726;-1.5464028;-0.28624943;-0.13140249;1.0719556;-0.2100418;-0.023216741;-0.13621669;-0.017837688;0.018059526;0.37799478;-0.3584216;-0.017765028;-0.13421437;0.016333386;-0.1367187;-0.012590836;-0.5578892;0.11453502;-0.30894125;0.27710846;-0.0006091893;0.056597102;0.00027164762;0.04334775;-0.057439864;0.121186264;-0.046046995;0.07195338;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_1_5Nm_12-14-2020_13-02_Em_2.mat
-1.450461;-0.43819094;6.4005284;20.816198;-1.4505024;-0.43369505;6.4065375;20.81433;-3.9918044;-1.2543689;4.5929728;9.689151;-4.8609457;-1.3748012;4.399086;9.67362;0.06689981;0.2102664;-0.9841399;-0.07557526;0.08913891;1.6947184;0.23408192;0.9890826;-0.025045117;0.007972558;0.03280866;0.26114503;-0.5002694;-0.038852397;-0.17159049;-0.02922568;-0.08124752;0.017841244;0.011732179;0.1417772;-0.17935139;0.36849123;-0.123464175;0.48670292;-0.016784187;0.023873482;-0.058732044;-0.005735186;-0.085339494;0.04010205;-0.10446842;0.010201102;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_2_0Nm_12-14-2020_13-02_Em_0.mat
